stream,year,date,doy,rm_upper,rm_lower,rm_length,redds,survey_type,flow,method
Snow Creek,2007,2007-05-11,131,0.8,0,0.8,0,INDX,Medium,FOOT
Duckabush River,2007,2007-03-23,82,2.5,2.4,0.1,0,PART,Medium,FOOT
Dewatto River,2007,2007-03-22,81,3,1.8,1.2,0,INDX,Low,FOOT
Duckabush River,2007,2007-03-21,80,0.01,0,0.01,0,SPOT,Medium,FOOT
Dewatto River,2007,2007-03-19,78,3,1.8,1.2,0,INDX,Low,FOOT
Little Quilcene River,2007,2007-03-21,80,1.81,1.8,0.01,0,SPOT,High,FOOT
Tahuya River,2007,2007-03-22,81,11,10,1,0,INDX,Low,FOOT
Tahuya River,2007,2007-03-22,81,10,7.5,2.5,0,INDX,Low,FOOT
Little Quilcene River,2007,2007-03-23,82,0.8,0,0.8,0,INDX,Medium,FOOT
Little Quilcene River,2007,2007-03-23,82,1.8,0.8,1,0,INDX,Medium,FOOT
Union River,2007,2007-03-28,87,1.7,0.3,1.4,0,INDX,Low,FOOT
Little Quilcene River,2007,2007-03-29,88,5.4,4.3,1.1,0,INDX,Medium,FOOT
Little Quilcene River,2007,2007-03-29,88,1.8,0.8,1,0,INDX,Medium,FOOT
Duckabush River,2007,2007-03-30,89,2.5,2.4,0.1,0,PART,Medium,FOOT
Union River,2007,2007-04-04,94,4,3,1,0,INDX,Low,FOOT
Dewatto River,2007,2007-04-06,96,1.8,0.3,1.5,0,INDX,Low,FOOT
Tahuya River,2007,2007-04-09,99,10,7.5,2.5,0,INDX,Low,FOOT
Tahuya River,2007,2007-04-09,99,11,10,1,0,INDX,Low,FOOT
Dewatto River,2007,2007-04-06,96,3,1.8,1.2,0,INDX,Low,FOOT
Dewatto River,2007,2007-02-22,53,3,1.8,1.2,0,INDX,Low,FOOT
Duckabush River,2007,2007-02-26,57,2.3,1.1,1.2,0,INDX,Medium,FOOT
